,식당명,대표메뉴,주소
0,쌍다리돼지불백,돼지불백,서울특별시 성북구 성북동 109-2
1,성북동 돼지갈비집,돼지불백,서울특별시 성북구 성북동 114-2
2,계림,닭볶음탕,서울특별시 종로구 종로3가 167
3,마포원조떡볶이,떡볶이,서울특별시 마포구 도화동 345-4
4,서린낙지,낙지볶음,서울특별시 종로구 종로1가 24 르메이에르 종로타운 2층
5,바다식당,부대찌개,서울특별시 용산구 한남동 743-7
6,달인꽈배기,꽈배기,서울특별시 서대문구 영천동 69-3
7,신토불이떡볶이,떡볶이,서울특별시 광진구 구의동 52-17
8,공항칼국수,버섯칼국수,서울특별시 강서구 공항동 73-7
9,한라산도새기,오겹살,서울특별시 구로구 오류2동 135-68
10,라면 땡기는 날,짬뽕라면,서울특별시 종로구 화동 138-21
11,닭칼원조집,닭한마리,서울특별시 중구 중림동 110-3
12,미스터 칠드런,즉석떡볶이,서울특별시 영등포구 여의도동 44-14
13,남도식당,연탄삼겹살,서울특별시 종로구 청진동 204-1
14,호남식당,쫄갈비,서울특별시 중구 충무로4가 127-16
15,옥천매운족발,매운족발,서울특별시 종로구 창신1동 142-27
16,평안도 족발집,족발,서울특별시 중구 장충동1가 62-16
17,골목떡볶이,국물떡볶이,서울특별시 송파구 문정동 44
18,전주익산집,백순대 철판볶음,서울특별시 관악구 신림동 1640-31
19,머거보까매운불갈비찜,매운갈비찜,서울특별시 중구 신당동 368-60
20,이조보쌈,모둠보쌈,서울특별시 영등포구 당산동 295
21,감초식당,연탄갈비,서울특별시 동대문구 제기동 892-12
22,감미치킨,바비큐치킨,서울특별시 송파구 풍납동 405
23,소담,돌냄비우동,서울특별시 성북구 보문동5가 3-3
24,혼가츠,매운돈까스,서울특별시 마포구 서교동 358-49
25,장원북어국,북어국,서울특별시 영등포구 여의도동 226-36
26,일등식당,뼈해장국,서울특별시 마포구 망원동 476-1
27,용마해장국,해장국,서울특별시 중랑구 망우동 407-28
28,서대문외할머니라면,다슬기라면,서울특별시 서대문구 충정로2가 124
29,나인온스,햄버거,서울특별시 관악구 봉천동 1626-20
30,호남집,야채곱창,서울특별시 종로구 종로5가 225-27
31,돈암순대김밥,순대,서울특별시 성북구 동소문동5가 63-3 돈암제일시장 내
32,혜화 칼국수,칼국수,서울특별시 종로구 혜화동 84-3
33,중림장,도가니탕,서울특별시 중구 중림동 468
34,가나기사식당,돈까스,서울특별시 강남구 논현동 275-3
35,돈까스먹는 용만이,돈까스,서울특별시 노원구 중계4동 140-42
36,만두명가,꽈배기,서울특별시 강북구 수유1동 54-1
37,효동각,짜장면,서울특별시 서대문구 대신동 50-2
38,연신네 불오징어,불오징어,서울특별시 은평구 대조동 185-34
39,복정집,오징어찌개,서울특별시 중구 충무로4가 306
40,원조누드김밥,누드김밥,서울특별시 종로구 예지동 30-4 광장시장 41호
41,신계치,라면,서울특별시 서대문구 창천동 2-24
42,라면점빵,라면,서울특별시 종로구 필운동 202
43,수목식당,칼국수,서울특별시 동작구 흑석동 54-146
44,삼숙이라면,파채라면,서울특별시 종로구 인사동 220-2
45,낙산냉면,매운냉면,서울특별시 종로구 창신동 81-8
46,참나무 닭나라,장작구이 통닭,서울특별시 성북구 성북동 173-28
47,영일분식,칼비빔국수,서울특별시 영등포구 문래동4가 8-26
48,소문난성수감자탕,감자탕,서울특별시 성동구 성수동2가 315-100
49,할매집,감자탕,서울특별시 종로구 내자동 108
50,원할매 소문난 닭한마리,닭한마리 칼국수,서울특별시 종로구 종로5가 282-21
51,청파 쌍대포,돼지껍데기,서울특별시 용산구 청파동2가 95
52,중화원,짬뽕,서울특별시 은평구 대조동 197-19
53,우정,국물 닭발,서울특별시 중구 신당동 304-791
54,보들이족발,족발,서울특별시 은평구 대조동 185-44
55,굴다리식당,김치찌개,서울특별시 마포구 도화동 181-45
56,매덕스피자,피자,서울특별시 용산구 이태원동 129-9
57,하하,만두 #가지볶음,서울특별시 마포구 연남동 229-12
58,엄마손만두,매콤 만둣국,서울특별시 강동구 천호동 436-5
59,노량진 포차 수제비,멸치수제비,서울특별시 동작구 노량진로 184
60,순댕이네얼큰수제비,칼제비 국밥,서울특별시 금천구 독산동 159-7
61,은성횟집,대구매운탕,서울특별시 종로구 종로4가 165-2
62,찬양집,바지락칼국수,서울특별시 종로구 돈의동 27
63,피자아일랜드,피자,서울특별시 서대문구 홍은동 202-5
64,왕타이,팟타이,서울특별시 용산구 이태원1동 176-2 
65,가마마루이,일본라면,서울특별시 서대문구 창천동 91-6
66,발리비스트로,미고랭,서울특별시 마포구 노고산동 31-74
67,홍은손칼국수전문점,칼국수,서울특별시 서대문구 홍은동 48-100
68,윤씨밀방,함박,서울특별시 마포구 상수동 315-3
69,수와래,파스타,서울특별시 종로구 삼청동 35-116
70,한일식당,생선구이,서울특별시 종로구 관수동 43-2
71,너도나도식당,우렁된장찌개,서울특별시 영등포구 양평동5가 57-1
72,허파식당,소허파전골,서울특별시 동대문구 제기동 1156-14
73,쿠이신보,야키도리,서울특별시 마포구 합정동 413-16
74,망원양꼬치,양꼬치,서울특별시 마포구 망원동 379-2
75,고가네 원조숯불구이통닭,닭꼬치,서울특별시 동작구 상도동 195-52
76,돈파스팔레,돈가스 파스타,서울특별시 관악구 봉천동 1628-18
77,선다래,비프 오므라이스,서울특별시 용산구 청파동2가 55-8
78,미정이네식당,코다리찜,서울특별시 성동구 성수동2가 335-138
79,장안정,돈가스,서울특별시 동대문구 장안동 334-3
80,아차산할아버지 순두부,순두부,서울특별시 광진구 구의동 143-2
81,라이너스바베큐,폴드포크,서울특별시 용산구 이태원1동 56-20
82,원조수구레,수구레,서울특별시 강서구 방화동 179-14
83,마녀커리크림치킨,커리크림 치킨,서울특별시 마포구 서교동 402-2
84,풍남원조골뱅이,골뱅이,서울특별시 중구 을지로3가 350-1
85,꼬메이베베,스페인 요리,서울특별시 마포구 연남동 383-72 3층
86,뭄알로이,태국 요리,서울특별시 마포구 상수동 93-113 2층
87,포춘레스토랑,러시아 요리,서울특별시 중구 광희동1가 250-1 2층
88,마라케쉬나이트,모로코 요리,서울특별시 용산구 이태원동 127-12
89,신촌칼국수,칼국수,서울특별시 마포구 노고산동 40-9
90,서궁,오향장육 쇠고기군만두,서울특별시 영등포구 여의도동 43-3 홍우빌딩 1층
91,대치정육식당,등심,서울특별시강남구 대치4동 911-8
92,투뿔등심,등심,서울특별시 강남구 신사동 532-9
93,새벽집,소고기,서울특별시 강남구 청담동 129-10
94,대도식당,소고기,서울특별시 성동구 홍익동 431
95,통일집,한우등심,서울특별시 중구 을지로3가 202
96,소호정,안동국시,서울특별시 서초구 양재동 392-11
97,찬양집,칼국수,서울특별시 종로구 돈의동 27
98,명동교자 본점,칼국수,서울특별시 중구 명동2가 25-2
99,국시집,칼국수,서울특별시 성북구 성북동1가 9
100,해밀손칼국수,칼국수,서울특별시 관악구 청림동 16-41
101,대성갈비,돼지갈비,서울특별시 성동구 성수동1가 668-21
102,조박집,돼지갈비,서울특별시 마포구 용강동 40-1
103,목포산꽃게,꽃게찜,서울특별시 성동구 마장동 767-41
104,한일관,불고기,서울특별시 강남구 신사동 619-4
105,쿄 베이커리,빵집,서울특별시 마포구 상수동 317-7
106,폴앤폴리나,빵집,서울특별시 마포구 서교동 343-11 1층
107,리치몬드,빵집,서울특별시 마포구 성산1동 114-5
108,유림낙지,낙지볶음,서울특별시 종로구 서린동 129-1
109,광주식당,청국장,서울특별시 동대문구 청량리동 773
110,툇마루밥상,한정식,서울특별시 송파구 문정1동 46-11
111,현고대 닭발,닭발,서울특별시 동대문구 제기동 67-6
112,풍년 닭도리탕,닭볶음탕,서울특별시 중구 서소문동 120-12
113,조선옥,소갈비,서울특별시 중구 을지로3가 229-1
114,벽제갈비,한우,서울특별시 송파구 방이동 205-8
115,우동 카덴,우동,서울특별시 마포구 서교동 391-5
116,이나니와 요스케,일본우동,서울특별시 중구 을지로1가 192-11 재능빌딩 1층
117,니시키,일본우동,서울특별시 용산구 한남동 683-122
118,한옥집,김치찌개,서울특별시 서대문구 냉천동 178
119,광화문집,김치찌개,서울특별시 종로구 당주동 43
120,굴다리식당,김치찌개,서울특별시 마포구 도화동 181-45
121,은주정,김치찌개,서울특별시 중구 주교동 43-23
122,현대정육식당,김치찌개,서울특별시 강남구 청담동 1-25
123,개성집,국수 #만두,서울특별시 동대문구 용두동 201-2
124,평안도만두집,만두,서울특별시 종로구 내수동 167 대우복합빌딩 지하 104호
125,자하손만두 본점,만두,서울특별시 종로구 부암동 245-2
126,메밀꽃필무렵,메밀,서울특별시 종로구 통의동 7-23
127,두오모,이탈리안,서울특별시 종로구 효자동 40-2
128,그라노,파스타,서울특별시 강남구 신사동 645-1
129,한추,고추튀김,서울특별시 강남구 신사동 549-9
130,반포치킨,마늘치킨,서울특별시 서초구 반포본동 1050
131,영양센터,삼계탕 #전기구이,서울특별시 중구 충무로1가 25-32
132,긴자 바이린,돈까스,서울특별시 종로구 사간동 93
133,사모님돈가스,돈까스,서울특별시 마포구 상수동 310-8
134,금왕돈까스,돈까스,서울특별시 성북구 성북동 256-1
135,한성돈까스,돈까스,서울특별시 서초구 잠원동 21-5
136,옛날민속집,두부,서울특별시 종로구 구기동 64-5
137,감촌,순두부,서울특별시 종로구 청진동 166 르메이에르 2층
138,모꼬지에,즉석떡볶이,서울특별시 송파구 송파동 195-1
139,주,중식 #탕수육,서울특별시 서초구 방배동 795-5
140,도원,중식 #탕수육,서울특별시 중구 태평로2가 23 더 플라자 호텔 3층
141,대가방,탕수육,서울특별시 강남구 논현동 99-7
142,현래장,수타짜장,서울특별시 마포구 마포동 140
143,신성각,짜장면,서울특별시 마포구 신공덕동 2-463
144,희래닭갈비,닭갈비,서울특별시 서초구 양재동 368
145,자연석돌구이,대패삼겹살,서울특별시 강남구 논현동 97-18
146,베러댄비프,삼겹살,서울특별시 강남구 신사동 514-9 지하1층
147,피자힐,피자,서울특별시 광진구 광장동 21
148,더키친 살바토레 쿠오모,피자,서울특별시 강남구 신사동 646-2
149,부자피자 1호점,화덕피자,서울특별시 용산구 한남동 743-33
150,버거그루72,수제버거,서울특별시 서초구 반포동 72-3
151,브루클린 더버거 조인트,수제버거,서울특별시 서초구 반포동 551-32
152,오케이버거,수제버거,서울특별시 영등포구 여의도동 23-8
153,아이엠어버거,수제버거,서울특별시 마포구 창전동 5-78
154,진미식당,간장게장,서울특별시 마포구 공덕동 105-127
155,큰기와집,간장게장,서울특별시 종로구 소격동 122-3
156,봉피양 본점,평양냉면 #돼지갈비,서울특별시 송파구 방이동 205-8
157,을지면옥,평양냉면,서울특별시 중구 입정동 161
158,우래옥 을지로점,평양냉면,서울특별시 중구 주교동 118-1
159,이문설농탕,설렁탕,서울특별시 종로구 견지동 88
160,외고집설렁탕,설렁탕,서울특별시 강남구 대치4동 923-22 B1F
161,무수옥,설렁탕,서울특별시 도봉구 도봉1동 600-4
162,봉쥬르밥상,설렁탕,서울특별시 서대문구 연희동 192-29
163,오장동흥남집 본점,함흥냉면,서울특별시 중구 오장동 101-7
164,밀탑 본점,빙수,서울특별시 강남구 압구정동 429 현대백화점 5층
165,동빙고,팥빙수,서울특별시 용산구 이촌동 301-162
166,대문점,오향족발,서울특별시 영등포구 영등포동3가 15-4
167,영동족발 본점,족발,서울특별시 서초구 양재동 1-8
168,평안도 족발집,족발,서울특별시 중구 장충동1가 62-16
169,초마,짬뽕,서울특별시 마포구 서교동 361-10 2층
170,호수삼계탕 본점,삼계탕,서울특별시 영등포구 신길동 342-325
171,강원정,삼계탕,서울특별시 용산구 원효로1동 48-7
172,평래옥,평양냉면,서울특별시 중구 저동2가 18-1
173,툭툭누들타이,태국음식,서울특별시 마포구 연남동 223-15
174,왕타이,태국음식,서울특별시 용산구 이태원동 176-2 영화빌딩 3층
175,창수린,태국음식,서울특별시 용산구 후암동 194-15
176,구스테이크,스테이크,서울특별시 강남구 신사동 528-3
177,BLT스테이크,스테이크,서울특별시 종로구 종로6가 289-3 JW메리어트 동대문 스퀘어 서울특별시 2층
178,울프강 스테이크하우스,스테이크,서울특별시 강남구 청담동 89-6 영인빌딩
179,비스테까,스테이크 #티라미수,서울특별시 용산구 이태원동 211-33
180,편의방,만두,서울특별시 서대문구 연희동 353-94
181,쟈니덤플링 본점,만두,서울특별시 용산구 이태원동 130-3
182,홍연,중식 #딤섬,서울특별시 중구 소공동 87
183,타지 본점,인도음식,서울특별시 중구 명동1가 1-3
184,에베레스트 본점,인도음식,서울특별시 종로구 창신동 148-1
185,히메지,카레,서울특별시 마포구 연남동 227-15
186,엘본 더테이블,스테이크,"서울특별시 강남구 신사동 530-5 2, 3층"
187,라 싸브어,프렌치,서울특별시 서초구 반포동 90-10
188,줄라이,프렌치,서울특별시 서초구 반포동 577-20
189,당인식당,백반,서울특별시 마포구 당인동 25-22
190,청담골,백반,서울특별시 강남구 청담동 19-17
191,일미식당,청국장,서울특별시 종로구 낙원동 284-6 (낙원상가 B1F 148호)
192,희정식당,부대찌개,서울특별시 영등포구 여의도동 21-3
193,바다식당,부대찌개,서울특별시 용산구 한남동 743-7
194,모이 (Moi),한식 주점,서울특별시 용산구 한남동 30-1
195,동원집,감자탕,서울특별시 중구 입정동 272-2
196,전통아바이순대,아바이순대,서울특별시 중구 산림동 84-1
197,홍천한우곱창,곱창,서울특별시 마포구 도화동 38-25
198,삼성원조양곱창,곱창,서울특별시 강남구 청담동 133-6 1F (승창빌딩 1층)
199,토말,남도음식,서울특별시 강남구 논현동 254-23
200,마츠모토,스시,서울특별시 강남구 신사동 630-1
201,스시선수,스시,서울특별시 강남구 신사동 651-16 호림아트센터
202,스시 효 본점,스시,서울특별시 강남구 청담동 21-16
203,코지마,스시,서울특별시 강남구 청담동 89-17
204,더하기84,반미,서울특별시 종로구 관훈동 106
205,탬파,쿠바 샌드위치,서울특별시 마포구 연남동 260-2
206,락희옥,보쌈,서울특별시 마포구 용강동 494-56
207,하동관,곰탕,서울특별시 중구 명동1가 10-4
208,덕원,꼬리곰탕,서울특별시 영등포구 영등포동2가 94-28
209,더램키친,양고기,서울특별시 강남구 논현동 95-4
210,브라이리퍼블릭,양고기바비큐,서울특별시 용산구 이태원1동 63-4
211,이치류,칭기즈칸,서울특별시 마포구 서교동 395-124
212,부민옥,육개장,서울특별시 중구 다동 134-4
213,동경전통육개장,육개장,서울특별시 강남구 역삼동 647-7
214,하단,만두전골,서울특별시 성북구 성북동 184-40
215,대가,만두전골,서울특별시 강남구 역삼동 810-12
216,깡통만두,만두전골,서울특별시 종로구 재동 84-22
217,모터시티,디트로이트 피자,서울특별시 용산구 이태원동 56-30
218,자리,목화솜탕수육,서울특별시 용산구 한남동 682-22
219,돈차를리,타코,서울특별시 용산구 이태원동 650
220,이요이요스시,스시,서울특별시 마포구 공덕동 469
221,스시고,스시,서울특별시 서초구 반포동 94-10
222,스시코마츠,스시,서울특별시 강남구 신사동 624-19
223,스윗츠플래닛,롤케익,서울특별시 강남구 논현동 118-1
224,듀자미,케익,서울특별시 강남구 신사동 535-9
225,키에리,케익,서울특별시 용산구 이태원동 73-7
226,순대일번지,순댓국,서울특별시 마포구 망원동 481-5
227,주오일식당,다국적 가정식,서울특별시 마포구 망원동 404-3
228,동일루,굴탕면,서울특별시 마포구 망원동 395-36 
229,마산옥,모듬찜,서울특별시 강남구 신사동 512-20
230,대복,복찜,서울특별시 중구 북창동 65-1
231,동해해물,해물찜,서울특별시 광진구 화양동 37-1
232,마산해물아구찜,아구찜,서울특별시 종로구 낙원동 45-3
233,산수갑산,대창순대,서울특별시 중구 인현동1가 15-4
234,헬카페,카페,서울특별시 용산구 보광동 238-43
235,커피 리브레,카페,서울특별시 마포구 연남동 227-15
236,진진,중식,서울특별시 마포구 서교동 469-67
237,송가,중식,서울특별시 마포구 연남동 226-16
238,홍보각,중화요리,서울특별시 중구 장충동2가 186-54 그랜드 앰배서더호텔 2층
239,고성막국수,막국수,서울특별시 강서구 방화동 323-6
240,네기,이자카야,서울특별시 강남구 신사동 540-19
241,이치에,이자카야,서울특별시 강남구 신사동 656-7 2층
242,갓포아키,이자카야,서울특별시 강남구 청담동 83-1
243,반룡산,가릿국밥,서울특별시 강남구 대치동 894-4
244,강남 따로국밥,따로국밥,서울특별시 서초구 잠원동 19-12
245,청진옥,선지해장국,서울특별시 종로구 종로1가 24 르메이에르 1층
246,서촌계단집,해산물 주점,서울특별시 종로구 내자동 11-1
247,옹달샘,곤드레밥,서울특별시 마포구 서교동 402-3
248,군자네,김치찜,서울특별시 마포구 대흥동 337-62
249,로봇김밥,김밥,서울특별시 양천구 목동 905-34 하나프라자 106호
250,서호김밥,김밥,서울특별시 서초구 방배동 790
251,조선김밥,김밥,서울특별시 종로구 소격동 159
252,아침가리긴밭,비빔밥,서울특별시 강남구 논현동 63-4 솔빛빌딩
253,목멱산방,육회비빔밥,서울특별시 중구 예장동 산 5-6
254,더베이커스테이블,브런치,서울특별시 용산구 이태원동 691
255,빙봉,브런치,서울특별시 용산구 이태원2동 210-1
256,수지스 이태원점,브런치,서울특별시 용산구 이태원동 34-16
257,버터핑거 팬케익스 청담동점,브런치,서울특별시 강남구 청담동 88-9
258,오아시스,브런치,서울특별시 강남구 청담동 88-5
259,마포옥,설렁탕,서울특별시 마포구 용강동 50-13
260,차돌소풍,차돌박이,서울특별시 서초구 서초동 1341-9
261,봉산집 본점,차돌박이,서울특별시 용산구 용산동3가 1-21
262,필동면옥,평양냉면,서울특별시 중구 필동3가 1-5
263,신들래보쌈,보쌈,서울특별시 용산구 남영동 97-5
264,이십사절기,제육볶음,서울특별시 강남구 삼성동 159-7
265,도꼭지,제육볶음,서울특별시 마포구 서교동 403-21
266,원조녹두,빈대떡,서울특별시 중구 입정동 272-8
267,봉화전,육전,서울특별시 강남구 삼성동 162-7
268,한성칼국수 본점,칼국수,서울특별시 강남구 논현동 62-13 (관우회관 지하)
269,이수통닭,가마솥통닭,서울특별시 서초구 방배동 425-1
270,계열사,치킨,서울특별시 종로구 부암동 258-3
271,레게치킨썬샤인,치킨,서울특별시 마포구 상수동 317-9
272,나리의 집,냉동삼겹살,서울특별시 용산구 한남동 738-24
273,육전식당 본점,삼겹살,서울특별시 동대문구 신설동 104-3
274,육통령,삼겹살,서울특별시 중구 충무로1가 25-36
275,청담,황태짬뽕,서울특별시 강남구 청담동 7-12
276,미나미,모밀국수,서울특별시 서초구 서초동 1668-7
277,호무랑,모밀국수,서울특별시 강남구 청담동 4-1
278,미진,모밀국수,서울특별시 종로구 청진동 146
279,옛집,국수,서울특별시 용산구 한강로1가 231-23
280,사발,닭국수,서울특별시 종로구 내수동 72
281,만나손칼국수,콩국수,서울특별시 중구 충무로5가 8-2
282,톰볼라,피자,서울특별시 서초구 반포동 106-8
283,피자아이코닉,피자,서울특별시 강남구 삼성동 166-6
284,지노스뉴욕피자,피자,서울특별시 용산구 이태원동 457-3
285,우시야,한우,서울특별시 강남구 논현로 159길 11
286,옴팡집,한우,서울특별시 영등포구 여의도동 13-3
287,뜨락,한우,서울특별시 강남구 청담동 130-13
288,마얘,디저트,서울특별시 서초구 반포동 106-5
289,Little&Much,디저트,서울특별시 강남구 삼성동 10-8
290,디저트리,디저트,서울특별시 강남구 신사동 653-7
291,펠앤콜,수제아이스크림,서울특별시 마포구 상수동 310-11
292,몰리스팝스,수제아이스크림,서울특별시 마포구 서교동 332-20
293,카카오봄,젤라또,서울특별시 용산구 이태원동 648
294,소고산제일루,훠궈,서울특별시 마포구 서교동 366-13
295,삼국지,훠궈,서울특별시 마포구 연남동 259-4
296,마라샹궈,훠궈,서울특별시 종로구 통인동 147-15
297,평가옥,이북 음식,서울특별시 강남구 삼성동 143-1
298,동무밥상,이북 음식,서울특별시 마포구 합정동 381-64
299,만두집,평양 만두,서울특별시 강남구 신사동 661-1
300,도우룸,파스타,서울특별시 서초구 방배동 797-20
301,이태리재,파스타,서울특별시 종로구 소격동 158-1
302,쿠촐로오스테리아,파스타,서울특별시 용산구 용산동2가 45-13
303,레호이,베트남쌀국수 #반미,서울특별시 용산구 이태원동 261-9
304,안,베트남쌀국수,서울특별시 마포구 연남동 387-8
305,소이연남,태국 국수,서울특별시 마포구 연남동 229-67
306,라멘베라보,일본라면,서울특별시 마포구 망원동 385-39
307,하카다분코,일본라면,서울특별시 마포구 상수동 93-28
308,멘야하나비,일본라면,서울특별시 송파구 송파동 57
309,평양집,곱창 #부속고기,서울특별시 용산구 한강로동 137-1
310,까사디노아,이탈리안 가정식,서울특별시 마포구 연남동 257-8 1층
311,떡의미학,떡,서울특별시 서대문구 연희동 89-50
312,비원떡집,떡,서울특별시 종로구 수송동 25-2
313,낙원떡집,떡,서울특별시 종로구 낙원동 1
314,오통영,굴전,서울특별시 강남구 청담동 88
315,안동장,굴짬뽕 #깐풍새우,서울특별시 중구 을지로3가 315-18
316,신성식당,굴보쌈,서울특별시 중구 북창동 81
317,덕자네방앗간,쌀 떡볶이,서울특별시 서초구 서초동 1303-10
318,셀프하우스,마늘 떡볶이,서울특별시 강동구 성내동 595
319,루비 떡볶이,새우깡 떡볶이,서울특별시 강남구 신사동 653-2
320,참식당생대구전문점,대구탕,서울특별시 마포구 용강동 43-2
321,갯바위,대구탕,서울특별시 관악구 봉천동 876-19
322,포담,딤섬,서울특별시 종로구 통인동 137-7
323,인왕식당,소머리국밥,서울특별시 종로구 통인동 27-2
324,따빠스구르메,스페인 요리,서울특별시 종로구 통인동 137-9
325,통인스윗,에그타르트,서울특별시 종로구 통인동 73
326,산호,문어숙회,서울특별시 강남구 신사동 525-7
327,고래불,문어숙회,서울특별시 강남구 역삼1동 828-53
328,원조숯불소금구이,돼지 특수부위 치마살,서울특별시 광진구 화양동 20-25
329,오돌,돼지 특수부위  꼬들살,서울특별시 영등포구 당산동4가 1-145
330,미갈매기살,돼지 특수부위 갈매기살,서울특별시 종로구 돈의동 7-1
331,정돈,돈가스,서울특별시 종로구 명륜4가 107 지하 1층
332,명동돈가스,돈가스,서울특별시 중구 명동1가 59-13
333,안즈,돈가스,서울특별시 중구 수하동 66 페럼타워빌딩 지하1층
334,대원식당,생선구이 #고등어 구이,서울특별시 용산구 용산동3가 1-64
335,다미,생선구이 #메로 구이,서울특별시 영등포구 여의도동 36-4
336,퓨전선술집,생선구이 #은대구 된장구이,서울특별시 마포구 합정동 383-9
337,나노하나,이자까야,서울특별시 마포구 연남동 260-16
338,바라티에,파스타,서울특별시 마포구 동교동 148-2
339,서대문양꼬치,양꼬치 #중식 #양고기 전골,서울특별시마포구 연남동 258-1
340,강가네맷돌빈대떡,막걸리 #감자전 #빈대떡,서울특별시 용산구 한남동 641-9
341,백곰막걸리&양조장,막걸리 #가자미찜 #수육,서울특별시 강남구 신사동 657-7
342,남도마루,막걸리 #남도음식,서울특별시 영등포구 여의도동 15-24
343,시골야채된장,된장비빔밥,서울특별시 강남구 서초동 1308-1
344,개화옥,된장국수,서울특별시 강남구 신사동 661-18
345,대복집,된장전골,서울특별시 종로구 적선동 13-2
346,여수 오동도,새조개 샤브샤브,서울특별시 강남구 대치4동 913-7
347,주은감자탕,감자탕,서울특별시 송파구 삼전동 132-13
348,원조감자탕일미집,감자탕,서울특별시 용산구 후암동 194-3
