,식당명,대표메뉴,주소
349,닭한마리감자탕,감자탕,서울특별시 강남구 신사동 512-18
350,아지겐,이자카야,서울특별시 용산구 이촌동 301-153
351,금홍,중식,서울특별시 용산구 이촌동 301-160
352,갯마을,떡만두국,서울특별시 용산구 한강로3가 65-550
353,북악정,소고기구이,서울특별시 종로구 평창동 114-12
354,다운타우너,수제버거 #아보카도 버거,서울특별시 용산구 한남동 683-63
355,코퍼룸,수제버거,서울특별시 강남구 삼성동 112-5
356,파이어벨,수제버거,서울특별시 강남구 대치동 908-17
357,피터팬1978,동네 빵집 #단팥빵 #베이커리,서울특별시 서대문구 연희동 90-5
358,아티장베이커스,빵집 #사워도우 #베이커리,서울특별시 서초구 반포동 90-11
359,악소,빵집 #브룃헨 #베이커리,서울특별시특별시 용산구 한남동 72-1
360,로리스더프라임립,스테이크,서울특별시 서초구 서초동 1317-27 GT타워 3층
361,볼트스테이크하우스,스테이크,서울특별시 강남구 청담동 95-15 2층
362,부첼리하우스,스테이크,서울특별시 용산구 한남동 1-90
363,엽기꼼닭발,숯불 닭발,서울특별시 성동구 도선동 50
364,재구네 닭발,연탄불 닭발,서울특별시 중구 신당동 132-31
365,전국통일닭발,국물 닭발,서울특별시 동대문구 장안동 433-15
366,죽변항,물회,서울특별시 성동구 성수동 상원길 40
367,고모네 원조 콩탕 북어찜,콩국수,서울특별시 강동구 성내동 413-13
368,왕자장어,장어,서울특별시 강남구 신사동 646-16 1층
369,비야게레로,멕시코 음식,서울특별시 강남구 봉은사로 78길 12
370,바토스,멕시코 음식,서울특별시 용산구 이태원로 15길1 2층
371,엘피노 323,멕시코 음식,서울특별시 용산구 녹사평대로 220 2층
372,정인면옥,냉면,서울특별시 영등포구 여의도동 국회대로 76길
373,진미평양냉면,냉면,서울특별시 강남구 논현동 115-10
374,함흥에 겨울냉면,냉면,서울특별시 중구 장충동 2가 동호로24길 21
375,박군자 진주냉면,냉면,서울특별시 송파구 방이동 180-3 2층
376,무삼면옥,막국수,서울특별시 마포구 마포대로 12길 50
377,남경막국수,막국수,서울특별시 송파구 백제고분로길7길 52-29
378,양양 메밀막국수,막국수,서울특별시 서초구 동광로15길 10 광원빌딩
379,바네하임,맥주 안주,서울특별시 노원구 공릉동 공릉로 32길 54
380,크래프트루,맥주 안주,서울특별시 종로구 익선동 166-57
381,갓포치유,맥주 안주,서울특별시 강남구 언주로 164길 34-2
382,옥경이네 건생선,민어,서울특별시 중구 황학동 380 퇴계로85길 11
383,병우네 민어탕,민어,서울특별시 종로구 팔판동 14
384,상도 실내 포장마차,오징어,서울특별시 동작구 상도동 상도로 278
385,고운님,오징어,서울특별시 강남구 대치동 894-5번지
386,성일정육점,김치찌개,서울특별시 성동구 성수동 왕십리로 14길 34-3
387,옛집,김치찌개,서울특별시 광진구 광장동 326-9
388,옛골,김치찌개,서울특별시 강남구 역삼동 605-9
389,진남포면옥,백숙,서울특별시 중구 약수동 다산로 108 
390,팜티진 쌀국수,베트남 음식,서울특별시 성동구 도선동 무학로6길 50 성동삼성쉐르빌
391,프롬하노이,베트남 음식,서울특별시 마포구 망원동 411-8 1층
392,사이공리,베트남 음식,서울특별시 동작구 노량진동 장승배기로19길 16
393,명봉 샤브샤브 양꼬치,양꼬치,서울특별시 광진구 자양동 4-1
394,미쓰양꼬치,양꼬치,서울특별시 강남구 테헤란로 64길 26 2층 대치동 897-27
395,이태원양꼬치,양꼬치,서울특별시 용산구 이태원로 20길 22 한남동 683-123
396,정원 송파나루,갈치,서울특별시 송파구 석촌동 2-1
397,남도포장마차,실내포장마차,서울특별시 관악구 청룡동 914-27
398,서촌 안주마을,실내포장마차,서울특별시 종로구 내자동 1-2
399,짱이네 산곰장어,실내포장마차,서울특별시 강남구 언주로 605 논현동 237-5
400,메종엠오,디저트,서울특별시 서초구 방배로26길 22 방배동 876-41
401,스코프,디저트,서울특별시 종로구 누하동 90-2
402,보성식당,청국장,서울특별시 동작구 동작대로17길 3 사당1동 1008-15
403,청국장서갈비,청국장,서울특별시 강남구 대치동 897-3 선릉로 420
404,배꼽집,갈비탕,서울특별시 마포구 상암동 1597번지
405,논밭골,갈비탕,서울특별시 관악구 봉천동 915-26
406,남포면옥,갈비탕,서울특별시 중구 을지로3길 24 다동 125
407,신복촌,해물탕,서울특별시 영등포구 여의도동 국제금융로8길 19
408,성수아구찜탕,해물탕,서울특별시 성동구 성수1가 1동 656-318
409,제주아줌마집,해물탕,서울특별시 강동구 풍성로58길 34 성내3동 428-9
410,삼거리먼지막순대국,순댓국,서울특별시 영등포구 시흥대로185길 11 대림1동 963-9
411,농민백암순대,순댓국,서울특별시 강남구 대치동 896-33 선릉로86길 40-4
412,동대문 와글와글 족발,족발,서울특별시 종로구 창신길 18 창신동 573-1
413,마산족발,족발,서울특별시 마포구 월드컵북로 41 서교동 449-35
414,압구정 대감 왕족발,족발,서울특별시 강남구 신사동 615-1 코끼리상가 1층
415,라이차이,짜장면,서울특별시 강서구 송정로 43 공항동 60-34
416,맛이차이나,짜장면,서울특별시 마포구 독막로 68 상수동 321-1 2층
417,대관원,짜장면,서울특별시 영등포구 당산로37길 1 당산동4가 49 2층
418,백부장집,닭한마리,서울특별시 종로구 삼봉로 100-1 공평동 129
419,강촌숯불닭갈비,닭한마리,서울특별시 구로구 공원로6나길 35-2 구로동 29-22
420,취천루,만두,서울특별시 종로구 자하문로7길 9 체부동 26
421,구복만두,만두,서울특별시 용산구 두텁바위로 10 남영동 3-4
422,삐아프,초콜릿,서울특별시 강남구 압구정로4길 27-3 신사동 523-31 1층
423,레스쁘아 뒤 이부,레스토랑,서울특별시 강남구 선릉로152길 33 청담동 90-25
424,테라13,레스토랑,서울특별시 강남구 도산대로90길 13 청담동 50-8 1층
425,양평매운탕,매운탕,서울특별시 용산구 청파로 32 청파동1가 149-3
426,무화잠 강남점,대게,서울특별시 강남구 강남대로 538 논현동 142-2 정일빌딩
427,죽해수산,대게,서울특별시 서대문구 연세로5길 30 창천동 62-3
428,쪼매매운떡볶이,떡볶이,서울특별시 노원구 공릉로 208 공릉동 208-18
429,갈현시장할머니떡볶이,떡볶이,서울특별시 은평구 통일로87길 8-1 갈현동 412-5
430,마시리벌교참꼬막,꼬막,서울특별시 송파구 위례성대로22나길 21 오금동 10
431,옹아리벌교꼬막,꼬막,서울특별시 송파구 송파대로30길 11 가락동 97-8
432,엘림,수제비,서울특별시 강북구 삼각산로 67 인수동 521-20
433,얼큰한 조벡이 수제비,수제비,서울특별시 종로구 인사동5길 15-1 인사동 190-2
434,우텐더,소고기 안심,서울특별시 강남구 압구정로42길 25-10 신사동 643-20
435,삼정하누,소고기 안심,서울특별시 강남구 봉은사로26길 12 역삼동 605-2
436,남도음식전문점,낙지,서울특별시 관악구 관악로28길 7 행운동 36-20 1층
437,해남집,낙지,서울특별시 강남구 강남대로160길 10 신사동 508-1
438,송화산시도삭면,세계의 국수,서울특별시 광진구 뚝섬로27길 48 자양동 851-20
439,또이또이베트남,세계의 국수,서울특별시 용산구 이태원로 136-1 이태원동 34-14 2층
440,몽고네,세계의 국수,서울특별시 서대문구 연희로11가길 53 연희동 192-29
441,미당순두부,순두부,서울특별시 종로구 삼일대로 388-12 관철동 27-1 대진빌딩
442,옥동식,돼지국밥,서울특별시 마포구 양화로7길 44-10 서교동 385-6 3차신도빌라
443,충무로쭈꾸미불고기,쭈꾸미,서울특별시 중구 퇴계로31길 11 필동1가 3-20
444,목포낙지마을,쭈꾸미,서울특별시 종로구 지봉로 12 창신동 394-1
445,먹거리양곱창,곱창,서울특별시 서초구 강남대로99길 35 잠원동 22-1
446,우정양곱창,곱창,서울특별시 강남구 도산대로30길 23 논현동 67-11
447,미타우동,우동,서울특별시 송파구 삼전로12길 4 삼전동 3-1
448,우동가조쿠,우동,서울특별시 성동구 왕십리로 215-1 행당동 32-22
449,농부보쌈,보쌈,서울특별시 중랑구 용마산로 389 면목동 50-46 석주빌딩
450,황금콩밭,보쌈,서울특별시 마포구 굴레방로1길 6 아현동 275-2
451,빠넬로,파스타,서울특별시 마포구 어울마당로5길 29 서교동 400-22 건우상가주택
452,오만지아,파스타,서울특별시 용산구 유엔빌리지길 14 한남동 274-13
453,고암식당,부대찌개,서울특별시 용산구 이태원로27가길 5 이태원동 123-3
454,대우 부대찌개,부대찌개,서울특별시 강남구 테헤란로25길 34 역삼동 641-18
455,문래동 원조 마늘통닭,치킨,서울특별시 영등포구 도림로 471 문래동4가 7-4
456,네키드윙즈,치킨,서울특별시 용산구 녹사평대로 174-11 이태원동 34-8
457,국미당,분식,서울특별시 강남구 남부순환로359길 19 도곡동 955-12
458,어메이징브루잉컴퍼니,맥주,서울특별시 성동구 성수일로4길 4 성수1가1동 27-12
459,현대본가,소고기 특수부위,서울특별시 용산구 이태원로4길 24 한강로1가 166-2
460,호왕,소고기 특수부위,서울특별시 용산구 녹사평대로54길 20 이태원2동 273-20
461,옥천집,보리밥,서울특별시 양천구 목동로2길 1 신정4동 993-3
462,하레,꼬치구이,서울특별시 서초구 서초중앙로28길 16 서초동 1697-11 1층
463,어바웃진스,바비큐,서울특별시 종로구 사직로8길 24 내수동 71 경희궁의아침 2단지
464,"나, 전복",전복,서울특별시 종로구 종로35길 21-4 효제동 225
465,지니 전복죽,전복,서울특별시 강남구 논현로106길 6 역삼동 659-11 봉산빌딩 2층
466,이미,빙수,서울특별시 마포구 동교로25길 7 동교동 201-10 1층
467,수연산방,빙수,서울특별시 성북구 성북로26길 8 성북동 248
468,한씨옥,보리굴비,서울특별시 서대문구 연희로25길 92 연희동 90-12
469,신성,보리굴비,서울특별시 종로구 무교로 42 서린동 128-1
470,영덕회식당 (시청점),물회,서울특별시 중구 무교로 32 무교동 1 효령빌딩
471,서귀포오분작뚝배기,물회,서울특별시 서초구 반포대로30길 32 서초동 1555-2
472,우나스,디저트,서울특별시 강남구 도산대로 318 논현동 92 SB타워 별관 C동 2층
473,레프레미스,디저트,서울특별시 서초구 남부순환로337길 36 서초동 1430-1
474,종점숯불갈비,돼지갈비,서울특별시 용산구 장문로 112 보광동 70-19
475,안동돼지갈비,돼지갈비,서울특별시 양천구 목동중앙북로7가길 43 목동 611-21
476,소금집델리,샌드위치,서울특별시 마포구 월드컵로19길 14 망원동 57-38
477,카사블랑카,샌드위치,서울특별시 용산구 신흥로 35 용산동2가 44-7
478,썬댄스플레이스,샌드위치,서울특별시특별시 용산구 소월로 268 이태원동 260-18
479,만두라,만두,서울특별시특별시 금천구 시흥대로 97 시흥동 984 시흥유통상가 BB 53호
480,빠오즈푸,만두,서울특별시특별시 광진구 광나루로 373 군자동 361-32
481,산골면옥,쟁반막국수,서울특별시 중구 을지로 4가 60 을지로 175-5
482,산수갑산,"순대, 순대국",서울특별시 중구 을지로20길 24 인현동1가 15-4
483,모퉁이우 ripe,한우 오마카세,서울특별시 강남구 영동대로96길 26 삼성동 169-8 9층
484,하나모코시,토리소바(닭육수라멘),서울특별시 용산구 백범로87길 50-1 원효로1가 43-3
485,대머리식당,제육볶음,서울특별시 성북구 돌곶이로 162 장위동 75-1
486,줘마양다리구이,양다리,서울특별시 영등포구 도림천로11길 13 대림동 1056-7
487,월래순교자관,"군만두, 소룡포",서울특별시 구로구 가리봉동 131-22 디지털로19길 12
488,볼라레,마리나라 피자,"서울특별시 서초구 사평대로20길 8, 반포동 107-2 성훈빌딩"
489,사랑방참숯화로구이,삼겹살,서울특별시 용산구 신흥로36길 4
490,신사시장 떡볶기,"떡볶기, 김말이, 순댓국",서울특별시 강남구 압구정로29길 72-1 신사시장 내
491,에베레스트,"팔락 퍼니르, 치킨 티카마살라",서울특별시 종로구 종로51가길 2-1
492,만선호프,"노가리, 번데기",서울특별시 중구 을지로13길 19
493,미라이,"마구로 치즈, 사바산도",서울특별시 강남구 논현로153길 24
494,홍제동 우동국수,"부추 우동, 순두부 우동, 오돌뼈",서울특별시 은평구 서오릉로 242
495,진옥화할매 원조 닭한마리,닭한마리,서울특별시 종로구 종로40가길 18
496,태극당,"모나카 아이스크림, 카스테라",서울특별시 중구 동호로24길 7
497,금산제면소,탄탄면,서울특별시 중구 소공로6길 13
498,호우시절,오마카세,서울특별시 강남구 도산대로27길 16
499,알 아지즈,케밥,서울특별시 용산구 우사단로10길 11
500,안주나라,"홍어삼합, 백합탕",서울특별시 광진구 동일로18길 23
501,어머니 대성집,"밥을 말아먹는 해장국, 육회",서울특별시 동대문구 무학로43길 44
502,고봉삼계탕,삼계탕,서울특별시 강남구 봉은사로 524 삼성동 159
503,돝고기506,숙성 삼겹살 #목살,서울특별시 강남구 역삼로17길 53 역삼동 739-13
504,송쉐프,옛날볶음밥 #짬뽕,서울특별시 강남구 도산대로1길 40 신사동 507-11
505,진주집,냉콩국수,서울특별시 영등포구 국제금융로6길 33 여의도동 36-2
506,홍미닭발,통닭발,서울특별시 강남구 강남대로 628 신사동 502-1 신사빌딩 1층
507,문타로,닭꼬치 10종세트,서울특별시 용산구 이태원로 230-1 한남동 683-124
508,굴다리식당,김치찌개 #계란말이,서울특별시 마포구 새창로 8-1 도화동 181-45
509,뉴만두집,만두전골 #만둣굿,서울특별시 강남구 압구정로 338 신사동 661-1
510,동해대구탕,대구탕,서울특별시 영등포구 여의나루로 57 여의도동 25-12 신송센터 빌딩 지하1층
511,이두부야,서리태콩물,서울특별시 은평구 연서로 257 1층 불광동 314-34
512,역전회관,바싹불고기,서울특별시 마포구 토정로37길 47 염리동 173-21
513,진대감,차돌박이 #차돌삼합,서울특별시 마포구 마포대로12길 54-2 공덕동 249-61
514,영천영화,욱회비빔밥 #한우갈비살,서울특별시 강남구 도산대로90길 3 청담동 50-13 상민빌딩
515,앞마당,바지락칼국수 #부추전,서울특별시 마포구 성지길 30 합정동 375-5
516,서울 만남의 광장,말죽거리소고기국밥,서울특별시 서초구 양재대로12길 73-71 만남의광장 원지동 10-16
517,마로화적,양념 소갈비 #돼지본스테이크,서울특별시 종로구 성균관로16길 5 명륜1가 31-7
518,연타발,특양구이 #한우 대창구이,서울특별시 강남구 도산대로 231 신사동 629-32
519,국민한우 민소,한우모듬세트,서울특별시 영등포구 국제금융로2길 37 여의도동 26 에스트레뉴 지하1층
520,돌곰네,문어비빔밥,서울특별시 강남구 언주로146길 18 논현동 105 동현아파트 6동
521,소이연남,씀땀 #소고기국수,서울특별시 용산구 한남대로20길 47-10 한남동 31-5 리플레이스 한남 C동 2층
522,밥한끼,토마토치즈제육덮밥,서울특별시 용산구 독서당로 65-3 한남동 72-17
523,선학쭈꾸미,쭈꾸미정식,서울특별시 강남구 도산대로 514 청담동 49-8
524,짱곱창,야채곱창,서울특별시 강북구 솔매로 117-1 미아동 211-7
525,다오래골뱅이,스페셜 골뱅이 #치킨+골뱅이,서울특별시 양천구 목동동로10길 16-5 신정동 134-25 태우빌딩
526,신송한식,대구탕,서울특별시 영등포구 여의나루로 67 여의도동 25-6 신송빌딩
527,원조기사님분식,즉석우동 #짜장면,서울특별시 마포구 대흥동 139-6
528,진미식당,간장게장정식,서울특별시 마포구 마포대로 186-6 공덕동 105-127 선화의원
529,뒤푸리,대구탕,서울특별시 영등포구 은행로 29 여의도동 13-25 정우빌딩
530,소바야청담,메밀국수,서울특별시 용산구 이촌로 303 이촌동 301-160 현대맨숀
531,바나나그릴,클래식버거,서울특별시 용산구 독서당로 67 한남동 261-6
532,현대기사식당,북어찜,서울특별시 강남구 논현로85길 5-4 역삼동 738-5
533,트리아농,마닐라 망고 #코코화이트,서울특별시 강남구 학동로59길 43 청담동 26-5
534,하회마을,닭매운탕,서울특별시 마포구 어울마당로 122-1 서교동 346-42 지하1층
535,한남동 한방통닭,한방통닭,서울특별시 용산구 대사관로34길 38 한남동 618-6
536,종로진낙지,산낙지 철판볶음,서울특별시 종로구 수표로 122 낙원동 139
537,곱,한우황소 곱창 #모듬구이,서울특별시 마포구 도화길 31-1 도화동 179-11
538,유니크디저트,유니크마카롱,서울특별시 마포구 와우산로 159 서교동 326-10 1층
539,밥해주는남자,차돌떡볶이 #통오징어떡볶이,서울특별시 마포구 성미산로 152 연남동 239-48
540,이태리총각,비프 까르파치오,서울특별시 종로구 자하문로9길 11 통인동 137-7
541,오통영,메셍이굴국밥,서울특별시 용산구 이촌동 300-3 렉스상가 12-2
542,부자피자 1호점,부자 클라시카 피자,서울특별시 용산구 이태원로55가길 28 한남동 743-33 1층 부자피자
543,토속촌삼계탕,토속촌삼계탕,서울특별시 종로구 자하문로5길 5 체부동 85-1 토속촌
544,마녀김밥,미녀김밥,서울특별시 강남구 압구정로79길 32 청담동 124-11
545,속초코다리냉면,코다리냉면,서울특별시 강남구 압구정로 343 압구정동 494 갤러리아백화점명품관WEST B1
546,브루클린 더버거 조인트,브루클린웍스,서울특별시 강남구 봉은사로84길 10 삼성동 146-23
547,세미계,닭목살,"서울특별시 용산구 대사관로 34, 한남동 653-95"
548,돈까스잔치,잔치국수 #비빔국수,서울특별시 용산구 서빙고로 297 동빙고동94
549,남도분식,빨콩떡볶이 #상추튀김,서울특별시 종로구 옥인길 33 누상동 52-2
550,사대부집 곳간,마떡갈비 구이 반상,"서울특별시 영등포구 여의대로 24 여의도동 28-1 전경련회관 50, 51F"
551,동빙고,팥빙수,서울특별시 용산구 이촌로 319 이촌동 301-162 현대아파트
552,플로이,세트타르틴,서울특별시 종로구 필운대로 17 필운동 90-1
553,더루시파이키친,초콜렛 머드파이,서울특별시 용산구 이촌로 182 이촌동 302-68 풍원상가 1F
554,아우어베이커리,플랫화이트,서울특별시 강남구 도산대로 45길 10-11 신사동 648-15 JYC2빌딩
555,코끼리만두,김치만두,서울특별시 강서구 공항대로51길 27 등촌동 654-78
556,오모리찌개,오모리찌개 #옛날 손짜장,서울특별시 송파구 송파대로 471 석촌동 183-3
557,진도리 닭도리탕,오리지날 진도리,서울특별시 강남구 강남대로122길 15 논현동 163-17 상당빌딩
558,창화당,모둠만두 #떡볶이,서울특별시 종로구 수표로28길 23 익선동 174 1층
559,숙자네,대구탕 #황태북어국,서울특별시 영등포구 국제금융로 6길 33 여의도동 36-2 여의도백화점 지하 1층
560,이문 설농탕,설렁탕,서울특별시 종로구 견지동 88
561,형제 추어탕,추어탕,서울특별시 종로구 평창동 281-1
562,용금옥,추탕,서울특별시 중구 다동 165-1
563,은호식당,꼬리토막,서울특별시 중구 남창동 50-43
564,곰보추탕,추탕,서울특별시 동대문구 용신동 767-6
565,잼배옥,설렁탕,서울특별시 중구 서소문동 64-4
566,청진옥,해장국,서울특별시 종로구 종로1가 24
567,하동관,곰탕,서울특별시 중구 명동1가 10-4
568,한일관(서울특별시),"불고기, 냉면",서울특별시 강남구 신사동 619-4
569,옥천옥,설렁탕,서울특별시 동대문구 신설동 94-57
570,우래옥,평양냉면,서울특별시 중구 주교동 118-1
571,부여집,꼬리곰탕,서울특별시 영등포구 당산동 2가 162-13
572,강서면옥,평양냉면,서울특별시 중구 서소문동 120-15
573,옥돌집,불고기,서울특별시 성북구 길음동 1065
574,명동 할매낙지,낙지백반,서울특별시 중구 명동 2가 31-7
575,진주집,꼬리곰탕,서울특별시 중구 남창동 34-31
576,문화옥,설렁탕,서울특별시 중구 주교동 118-3
577,연남서식당,소갈비,서울특별시 마포구 노고산동 109-69
578,마포 진짜원조 최대포,돼지갈비,서울특별시 마포구 공덕동 255-5
579,열차집,빈대떡,서울특별시 종로구 공평동 130-1
580,삼거리 먼지막 순대국,순대국,서울특별시 영등포구 대림1동 963-9
581,오장동 함흥냉면,냉면,서울특별시 중구 오장동 90-10
582,태조 감자국,감자국,서울특별시 성북구 동소문동 5가 73-2
583,전주 중앙회관,곱돌비빕밥,서울특별시 중구 충무로1가 24-11
584,고려삼계탕,삼계탕,서울특별시 중구 서소문동 55-3
585,함흥 곰보냉면,냉면,서울특별시 종로구 인의동 112-14 세운스퀘어 401호
586,역전회관,바싹불고기,서울특별시 마포구 염리동 173-21
587,진주회관,콩국수,서울특별시 중구 서소문동 120-35
588,하동관,곰탕,서울특별시 중구 명동9길 12
589,참누렁소가든,소고기,서울특별시 노원구 공릉로63길 13
590,사직분식,청국장,서울특별시 중구 소공로 100
591,소양강 민물매운탕,,서울특별시 성북구 오패산로 16
592,순라길,"홍어, 삼합",서울특별시 종로구 서순라길 141
593,황우양곱창,곱창,서울특별시 강남구 언주로98길 5
594,평안도족발집,족발,서울특별시 중구 장충단로 174-6
595,사리원,"불고기, 국수전골",서울특별시 서초구 서운로 136
596,팔선,중식,서울특별시 중구 동호로 249
597,한옥집 서대문 본점,김치찜,서울특별시 서대문구 통일로9안길 14
598,벽제갈비 방이본점,소갈비,서울특별시 송파구 양재대로71길 1-4
599,방아다리감자국,뼈다귀해장국,서울특별시 종로구 종로39길 50
600,우래옥,냉면,서울특별시 중구 창경궁로 62-29
601,설로인,한우오마카세,서울특별시 강남구 삼성동 48-4
602,대흥뚝배기,제육볶음,서울특별시 서대문구 대현동 56-33
603,이필당,보쌈,서울특별시 영등포구 양평동 4가 77-3
604,채근담,비건한정식,서울특별시 강남구 대치동 983
605,건대통골뱅이,골뱅이탕,서울특별시 강남구 논현동 143-26
606,농실가,갈비탕,서울특별시 강서구 등촌동 674-2
607,청담골,백반,서울특별시 강남구 청담동 19-17
608,원대구탕,대구탕,서울특별시 용산구 한강로1가 142-4
609,다락정,만두전골,서울특별시 종로구 삼청동 127-4
610,경원집족발,족발,서울특별시 종로구 적선동 27
611,용금옥,추탕,서울특별시 중구 다동 165-1
612,한옥집,김치찌개,서울특별시 서대문구 냉천동 178
613,목포산꽃게,꽃게백숙,서울특별시 성동구 마장동 767-41
614,무등산,육회비빔밥,서울특별시 강남구 청담동 1-15
615,아소정,갈비찜,서울특별시 마포구 염리동 149-9
616,송죽장,짬뽕,서울특별시 영등포구 영등포동 4가 55
617,나폴레옹제과점,"사라다빵, 크로아상",서울특별시 성북구 성북동 1가 35-5
618,철길왕갈비살,양념소갈비살,서울특별시 마포구 창전동 4-2
619,백년옥,순두부,서울특별시 서초구 서초3동 1450-6
620,순라길,홍어삼합,서울특별시 종로구 권농동 148
621,전주중앙회관,돌솥비빔밥,서울특별시 중구 충무로1가 24-11
622,미진,메밀,서울특별시 종로구 종로1가 24 르메이에르종로타운 1층 청진동 146
623,한일관,불고기,서울특별시 강남구 신사동 619-4
624,가나안,떡볶이,서울특별시 송파구 송파동 195-1
625,등촌최월선칼국수,버섯매운탕,서울특별시 강서구 등촌동 654-95
626,동경전통육개장,육개장,서울특별시 강남구 역삼1동 647-7
627,우정낙지,낙지볶음,서울특별시 종로구 서린동 127
628,이문설농탕,설렁탕,서울특별시 종로구 견지동 88
629,맛자랑,콩국수,서울특별시 강남구 대치동 987-7
630,버섯잔치집,버섯전골,서울특별시 강동구 성내동 549-4
631,팔팔민물장어,장어구이,서울특별시 서초구 반포동 745
632,김복순큰남비집,김치찌개,서울특별시 강남구 신사동 522
633,대우식당,부대찌개,서울특별시 강남구 역삼동 641-18
634,청송함흥냉면,냉면,서울특별시 서대문구 연희동 193-6
635,알리바바,이집트음식,서울특별시 용산구 이태원동 124-9
636,봉산옥,만둣국,서울특별시 서초구 서초3동 1451-9
637,김앤김대게전문점,랍스터,서울특별시 마포구 서교동 372-1 3층
